stroll ,"거닐다, 산책하다 "
seashore ,"해변, 바닷가 "
breeze ,"미풍, 산들바람"
remodeling ,"리모델링, 주택 개보수"
make a change ,변경하다
suffer from ,~으로 고생하다 
go through ,"승인되다, 통과하다 "
no more than ,"불과, 고작"
withdrawal ,"출금, 인출; 취소 "
fill out ,~을 작성하다 
application ,"신청, 지원 "
withdraw ,취소하다
deposit ,"입금하다, 예치하다 "
as usual ,평소처럼 
go ahead ,"먼저 가다, 앞서 가다"
contract ,계약(서) 
contact ,연락하다 
register ,등록하다
on foot ,걸어서 
go straight ,직진하다 
turn right ,우회전하다
confirm ,확인하다 
organize ,"준비하다, 조직하다 "
preparation,준비 
come along ,(원하는 대로) 되어 가다 
supplies ,사무용품 
replace ,교체하다
head to ,~로 향하다 
get a haircut ,머리를 자르다
deserve ,~을 받을 만하다 
including ,~을 포함하여 
recognize ,"인정하다, 알아보다 "
recruitment ,"신규 모집, 채용 "
promotion ,"승진, 진급 "
retirement ,"은퇴, 퇴직"
electronics ,"전자기술, 전자공학"
pill ,"알약, 정제 "
recommend ,추천하다 
everywhere ,"모든 곳, 어디나 "
provide ,제공하다 
hate to do ,~하는 것을 싫어하다
make it ,(모임 등에) 가다 
come up ,(문제 등이) 발생하다 
affect ,영향을 미치다 
caterer ,(행사의) 요리 조달자 
beverage ,(물 외의) 음료
upset ,"기분이 상한, 낙담한"
author,"필자, 저자"
incredible ,놀랄 만한 
commute ,통근[통학] 시간[거리] 
masterpiece ,걸작 
exceed ,"초과하다, 넘다 "
sharp ,급격한 
slight ,"약간의, 조금의 "
decline ,"감소, 하락 "
thus ,"이렇게 하여, 이와 같이 "
downturn ,"감소, 하락 "
compared to ,~와 비교하여 
come up with ,~을 찾아내다[내놓다] 
go over ,~을 검토하다
statement ,명세서
not A but B ,A가 아니라 B 
expert ,전문가
recession ,불황
paid holiday ,유급 휴가 
compensation ,보상 
overtime ,"시간 외의, 초과 근무의 "
barely ,"간신히, 겨우"
accompany ,동반하다 
permit ,허용하다
magnificent ,"장엄한, 장대한 "
scenery ,"풍경, 경치 "
shaded ,그늘진 
deck ,집에 딸린 목제 테라스
analysis ,분석 
suspect,의심스러운
unusual ,"특이한, 흔치 않은 "
versatile ,"다재다능한, 다용도의 "
stubborn ,"완고한, 고집스러운"
assign ,(일·책임 등을) 맡기다 
sensitive ,"민감한, 신중을 요하는 "
complete ,"끝마치다, 완료하다 "
ethics ,pl. 윤리학 
support rod ,지지대 
wobbling ,흔들거리는 
remedial ,(문제를) 개선하기 위한
historical ,역사적인 
empire ,"거대 기업, 제국 "
construct ,건설하다 
enormous ,"거대한, 막대한 "
be full of ,~으로 가득 차 있다 
in person ,"직접, 몸소 "
payment ,"지불, 지급 "
slightly ,약간 
previously ,"미리, 사전에 "
highly ,매우 
donate ,"기증하다, 기부하다"
resident ,주민
formal suit ,정장 
badge ,배지 
predict ,예측[예견]하다 
agree with ,~에 동의하다
therapy ,"치료법, 요법 "
workshop,"워크숍, 공동 연수"
sponsor ,"주최하다, 후원하다 "
therapeutic ,치료법의 
hands-on ,직접 해 보는 
therapist,"치료사, 요법사 "
a variety of ,다양한 
effective ,효과적인 
technique ,"(전문) 기술, 기법 "
qualify for ,~의 자격을 갖추다 
credit ,학점 
physical ,물리(학)적인 
assistant ,"조수, 보조원 "
instructor ,강사 
blend ,"섞다, 혼합하다 "
approach ,접근법 
effectively ,효과적으로 
heal ,"치료하다, 낫게 하다"
location ,"장소, 위치 "
ranch ,(관광) 목장 
tuition ,수업료 
registration ,등록 
reserve ,예약하다 
remaining ,남아 있는 
balance ,"잔액, 잔금 "
in full ,전부 
prior to ,~ 전에 
cancelation,취소
right away ,즉시 
partial ,부분적인 
no-show ,불참자
in advance ,"사전에, 미리 "
meal ,식사 
participant,참가자 
former ,"이전의, 과거의"
element ,요소 
theory ,이론 
at a time ,한 번에 
entrepreneur ,기업가 
counterpart ,"한 쌍의 한쪽, 상대 "
succeed ,성공하다 
primary ,"일차적인, 첫째의 "
investment ,투자 
no matter how ,아무리 ~하더라도 
obstacle ,장애(물)
talented ,재능 있는 
on one’s own ,"혼자, 혼자 힘으로 "
preferably ,"가급적, 되도록"
firm ,회사 
line ,(상품의) 종류 
attend ,참석하다 
text ,문자를 보내다
convenient ,편리한 
complaint ,"불평, 항의 "
priority ,우선 사항 
inconvenience,불편
assume ,"추정하다, 생각하다 "
enclosed ,동봉된
make a speech ,연설하다 
manufacturer ,"제조사, 생산회사"
equipment ,장비
influence ,영향을 미치다 
disable ,망가뜨리다 
per day ,하루에 
freebie ,"공짜 물건, 경품 "
connoisseur ,감정가 
redeem ,"상환하다, 교환하다 "
limited-time ,한시적인 
promotional ,홍보용의 
sign up for ,"신청하다, 참가하다"
temporarily ,"일시적으로, 임시로 "
fragrant ,"향기로운, 향긋한 "
favorite ,특히 좋아하는 것 
decide ,결정하다 
be surprised ,놀라다 
learn ,알게 되다 
adequate ,"적합한, 충분한 "
restriction ,"제한, 제약"
unused,사용하지 않은
payroll software,급여관리 소프트웨어
be responsible for  ,~을 담당하다
go out of town  ,도시를 떠나다
on one’s way home,~가 집에 오는 길에
be supposed to ,~하기로 되어 있다 
be in charge of,~을 담당하다 
transportation  ,"운송, 교통"
increase in pay  ,봉급 인상 
accomplishment minimum balance,"실적, 공적, 성과 "
minimum balance,최소 잔고  
foreign currency  ,외화
sales meeting,영업 회의 
go on a business trip  ,출장 가다 
identification card,신분증명서 
be informed about ,~에 관해 알다
make a reservation ,예약하다
go on vacation ,휴가 가다
provide A with B,A에게 B를 제공하다 
publication ,"출판물, 정기 간행물"
renovation ,"개조, 수선 "
ship ,배송[운송]하다  
on hold ,보류 중인 
reject ,거부하다 
expire ,"만료되다, 끝나다 "
process ,처리하다 
authorize ,승인하다 
business day ,영업일
inquire about ,~에 관해 묻다 
refund ,환급 
remove ,제거하다 
be crowded ,붐비다
be famous for ,~으로 유명하다 
next to ,~옆에
concern ,관련된 것이다 
overall ,"전반적으로, 대체로 "
pricing ,가격 책정 
correct ,"바로잡다, 정정하다 "
headache  ,두통
secure ,"안전한, 확실한 "
incorrect ,"부정확한, 맞지 않는"
dedication ,헌신 
passionate ,열정적인 
encourage,장려하다
save energy ,에너지를 절약하다 
daily lives ,일상생활 
purchase ,구입 
break up ,헤어지다
take effect ,"시행되다, 발효되다 "
precise ,"정확한, 정밀한 "
one-on-one ,1대 1의 
implement ,시행하다 
merge with ,~와 합병하다
obtain ,"얻다, 구하다 "
be tired of ,~에 싫증이 나다 
adjustable ,조절[조정] 가능한 
surface ,"표면, 외면, 거죽 "
retail price ,소매 가격
appliance ,"(소형의) 기계, 기구"
conductor ,"차장, 승무원 "
as scheduled ,예정대로 
northbound ,북쪽으로 향하는
downed ,"떨어진, 추락한 "
proceed ,진행하다
patient ,"참는, 인내하는 "
crew ,"팀, 반, 조 "
shortly ,"잠시 후에, 곧 "
destination ,"행선지, 목적지"
board ,승차하다 
anticipate,예상하다
linguistics ,pl. 언어학 
asset,자산
undergraduate ,대학생 
direct ,"지도하다, 관리하다 "
chair ,"의장, 위원장 "
thorough ,"철저한, 완전한 "
preceding ,"이전의, 앞의 "
settle in ,"정착하다, 자리잡다 "
semester ,학기 
faculty ,교수진
supervise ,"감독하다, 관리하다"
strict ,엄격한 
dress code ,복장 규정 
mention ,언급하다
atmosphere ,분위기 
janitor ,"수위, 관리인 "
address ,말을 걸다
formality ,"형식적 행위, 격식 "
so far as ,~까지 
force ,강요하다
insist ,주장하다 
slacks ,pl. 슬랙스
dress shirt ,예복용 와이셔츠 
rip ,찢다 
shorts,pl. 반바지
official ,공식적인 
reprimand ,"질책, 비난, 견책 "
evening wear,"야회복, 예복"
violate ,"어기다, 위반하다 "
pay cut ,급여 삭감
eat out ,외식하다 
order in ,배달 주문하다 
the other day ,"일전에, 최근에 "
plate ,"요리, 한 접시 "
average ,평균의 
pick ,"고르다, 선택하다"
communicate ,"연락하다, 소통하다"
grand opening ,"개장, 개업식 "
food critics ,음식 평론가
utensil ,"도구, 기구 "
flyer ,"전단지, 광고지 "
get in touch ,연락을 취하다 
let out ,(회의·수업이) 끝나다 
deliberate ,숙고하다 
vote on ,~에 대해 투표하다 
pretty much ,거의 그러한
negotiate ,협상하다 
evaluate ,"평가하다, 감정하다"
submit ,제출하다
postpone ,연기하다 
complement ,보완하다 
dedicated ,헌신적인 
carry out ,수행하다 
nonprofit ,비영리의 
organization ,"조직, 단체 "
interest-free,무이자의
loan ,"대출, 융자 "
revenue ,수익 
statistics ,통계 수치 
argument ,주장
establish ,설립하다 
itinerary ,여행 일정표 
attachment ,첨부 파일 
congressman ,하원 의원 
overseas ,해외에 
charity ,"자선, 자선단체 "
host ,주최하다 
benefit ,~에게 이롭다
fundraising ,기금 마련의 
organizer ,주최자 
put out ,발행하다 
shift ,교대조 
greet ,환영하다 
and so forth ,~등등 
demonstrate ,입증하다
commitment ,"헌신, 전념 "
community ,지역사회 
in need ,어려움에 처한 
ambassador ,대사 
care about ,~을 배려하다 
paid time off ,유급 휴가 
be aware that,~을 알고 있다
could use ,~을 얻으면 좋겠다
set up ,준비하다 
send out ,발송하다 
excitement ,흥분 
generate ,발생시키다 
all in all ,"전부 해서, 통틀어 "
represent ,대표하다 
enthusiasm ,"열의, 열정"
entertain ,즐겁게 하다
overtime pay ,초과 근무 수당
gratitude ,감사 
reward ,"보상금, 사례금 "
vocation ,"천직, 소명 "
transaction ,거래
attached ,첨부된 
exhibit ,전시하다 
exhibition ,"전시회, 전람회 "
head ,향하다 
preparation  ,준비
traffic update ,교통상황
expense report ,지출 품의서
complain about ,~에 대해 항의하다
vacuum cleaner ,진공청소기 
electrical line ,전선 
be on one’s way ,길을 떠나다
a limited number of ,한정된 수의 
home appliance ,가정용 전기제품 
research institute ,연구소  
amusement park ,놀이공원 
international sales ,해외 영업 
avoid,~을 피하다
associated with ,~와 관련된 
art collection ,미술 소장품 
botanical garden ,식물원 
corporate mission ,기업 사명 
means,"(pl) 수단, 방법 "
have ~ delivered ,~을 배달시키다 
occupational therapist ,작업 치료사 
approx.,"거의, 대략 "
pre-registration ,사전 등록 
non-refundable ,환급되지 않는 
educational credit ,교육 이수 학점 
have less access to ,~을 이용하기 더 어렵다 
get off the ground ,이륙하다
business school ,경영대학원 
sales presentation ,제품 소개 
take an appointment ,약속을 수락하다
give a presentation ,발표하다
A be followed by B ,A에 이어서 B가 있다 
not only A but B ,A뿐만 아니라 B도 
be overwhelmed with ,~으로 압도되다 
make donations to ,~에 기부하다 
Public Relations ,홍보부 
make a difference ,차이를 만들다
client satisfaction ,고객 만족 
take a vacation ,휴가를 얻다
starting point ,출발점 
loyalty program ,고객 보상 프로그램 
participate in ,~에 참여하다 
loose leaf tea ,잎차 
terms and conditions ,"계약 조건, 이용 약관 "
recommendation ,추천 
change one’s mind ,마음을 바꾸다
be in charge of ,~을 담당하다
schedule an appointment with,~와 약속을 잡다
urban area ,시가지
track ,추적하다
impressive ,인상적인